id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
extended-reality,延展實境,扩展现实,擴展現實,XR,0.90,mainland-term,台灣實境技術總稱,tech,exact,,,,true
iot,物聯網,物联网,物聯網,IoT,0.90,mainland-term,台灣連網裝置技術,tech,exact,,,,true
industrial-iot,工業物聯網,工业物联网,工業物聯網,IIoT,0.90,mainland-term,台灣工業4.0技術,tech,exact,,,,true
edge-computing,邊緣運算,边缘计算,邊緣計算,edge computing,0.90,mainland-term,台灣分散式運算,tech,exact,,,,true
fog-computing,霧運算,雾计算,霧計算,fog computing,0.90,mainland-term,台灣分散式運算,tech,exact,,,,true
quantum-computing,量子運算,量子计算,量子計算,quantum computing,0.90,mainland-term,台灣前瞻運算技術,tech,exact,,,,true
qubit,量子位元,量子比特,量子比特,qubit,0.90,mainland-term,台灣量子運算單位,tech,exact,,,,true
quantum-entanglement,量子糾纏,量子纠缠,量子糾纏,quantum entanglement,0.90,mainland-term,台灣量子物理現象,tech,exact,,,,true
quantum-supremacy,量子優越性,量子优越性,量子優越性,quantum supremacy,0.90,mainland-term,台灣量子運算里程碑,tech,exact,,,,true
biotechnology,生物科技,生物技术,生物技術,biotechnology,0.90,mainland-term,台灣生命科學技術,tech,exact,,,,true
bioinformatics,生物資訊,生物信息学,生物信息學,bioinformatics,0.90,mainland-term,台灣跨領域科學,tech,exact,,,,true
genome-sequencing,基因定序,基因测序,基因測序,genome sequencing,0.90,mainland-term,台灣基因體技術,tech,exact,,,,true
crispr,基因編輯,基因编辑,基因編輯,CRISPR,0.90,mainland-term,台灣基因工程技術,tech,exact,,,,true
synthetic-biology,合成生物學,合成生物学,合成生物學,synthetic biology,0.90,mainland-term,台灣生物工程領域,tech,exact,,,,true
nanotechnology,奈米科技,纳米技术,納米技術,nanotechnology,0.90,mainland-term,台灣微型技術標準,tech,exact,,,,true
nanomaterial,奈米材料,纳米材料,納米材料,nanomaterial,0.90,mainland-term,台灣先進材料技術,tech,exact,,,,true
3d-printing,3D列印,3D打印,3D打印,3D printing,0.90,mainland-term,台灣積層製造技術,tech,exact,,,,true
additive-manufacturing,積層製造,增材制造,增材製造,additive manufacturing,0.90,mainland-term,台灣先進製造技術,tech,exact,,,,true
robotics,機器人學,机器人学,機器人學,robotics,0.85,mainland-term,台灣自動化技術,tech,exact,,,,true
robot,機器人,机器人,機器人,robot,0.85,mainland-term,台灣自動化設備,tech,exact,,,,true
autonomous-vehicle,自動駕駛車,自动驾驶车,自動駕駛車,autonomous vehicle,0.90,mainland-term,台灣智慧運輸技術,tech,exact,,,,true
self-driving,自動駕駛,自动驾驶,自動駕駛,self-driving,0.90,mainland-term,台灣智慧運輸技術,tech,exact,,,,true
drone,無人機,无人机,無人機,drone,0.90,mainland-term,台灣無人載具技術,tech,exact,,,,true
uav,無人飛行載具,无人飞行器,無人飛行器,UAV,0.90,mainland-term,台灣航空科技術語,tech,exact,,,,true
lidar,光達,激光雷达,激光雷達,LiDAR,0.85,mainland-term,台灣感測技術標準,tech,exact,,,,true
radar-tech,雷達,雷达,雷達,radar,0.80,mainland-term,台灣感測技術標準,tech,exact,,,,true
sensor-fusion,感測器融合,传感器融合,傳感器融合,sensor fusion,0.90,mainland-term,台灣感測整合技術,tech,exact,,,,true
renewable-energy,再生能源,可再生能源,可再生能源,renewable energy,0.90,mainland-term,台灣綠能技術標準,tech,exact,,,,true
solar-energy,太陽能,太阳能,太陽能,solar energy,0.85,mainland-term,台灣綠能技術類型,tech,exact,,,,true
wind-energy,風能,风能,風能,wind energy,0.85,mainland-term,台灣綠能技術類型,tech,exact,,,,true
battery-tech,電池技術,电池技术,電池技術,battery technology,0.85,mainland-term,台灣能源儲存技術,tech,exact,,,,true
fuel-cell,燃料電池,燃料电池,燃料電池,fuel cell,0.85,mainland-term,台灣清潔能源技術,tech,exact,,,,true
smart-grid,智慧電網,智能电网,智能電網,smart grid,0.90,mainland-term,台灣電力系統技術,tech,exact,,,,true
energy-storage,能源儲存,能源存储,能源存儲,energy storage,0.90,mainland-term,台灣能源管理技術,tech,exact,,,,true
carbon-footprint,碳足跡,碳足迹,碳足跡,carbon footprint,0.90,mainland-term,台灣環保指標術語,tech,exact,,,,true
net-zero,淨零,净零,淨零,net zero,0.85,mainland-term,台灣環保目標術語,tech,exact,,,,true
sustainable-development,永續發展,可持续发展,可持續發展,sustainable development,0.85,mainland-term,台灣永續目標標準,tech,exact,,,,true
circular-economy,循環經濟,循环经济,循環經濟,circular economy,0.90,mainland-term,台灣永續經濟模式,tech,exact,,,,true
green-technology,綠色科技,绿色科技,綠色科技,green technology,0.85,mainland-term,台灣環保技術總稱,tech,exact,,,,true
clean-tech,潔淨科技,清洁技术,清潔技術,clean tech,0.90,mainland-term,台灣環保技術標準,tech,exact,,,,true
digital-twin,數位雙胞胎,数字孪生,數字孿生,digital twin,0.90,mainland-term,台灣虛實整合技術,tech,exact,,,,true
industry-4,工業4.0,工业4.0,工業4.0,Industry 4.0,0.85,mainland-term,台灣製造業革新,tech,exact,,,,true
cyber-physical-system,虛實整合系統,信息物理系统,信息物理系統,CPS,0.90,mainland-term,台灣工業自動化,tech,exact,,,,true
digital-transformation,數位轉型,数字化转型,數字化轉型,digital transformation,0.90,mainland-term,台灣企業革新術語,tech,exact,,,,true
big-data,巨量資料,大数据,大數據,big data,0.90,mainland-term,台灣資料技術術語,tech,exact,,,,true
data-analytics,資料分析,数据分析,數據分析,data analytics,0.90,mainland-term,台灣資料處理術語,tech,exact,,,,true
data-science,資料科學,数据科学,數據科學,data science,0.90,mainland-term,台灣跨領域學科,tech,exact,,,,true
data-mining,資料探勘,数据挖掘,數據挖掘,data mining,0.90,mainland-term,台灣資料處理技術,tech,exact,,,,true
predictive-analytics,預測分析,预测分析,預測分析,predictive analytics,0.90,mainland-term,台灣資料應用技術,tech,exact,,,,true
